246
38000+
21000+
30000+
7000+
16000+
9000+
420
5000+
2000+
135
6000+
1000+
156
847
5000+
1000+
2000+
4000+
7000+
79000+
33000+
97000+
23000+
43000+
8000+
18000+
2000+
4000+
4000+
9000+
18000+
9000+
84000+
25000+
2000+
5000+
1000+
14000+
20000+
19000+
11000+
19000+
2000+
120000+
98000+
35000+
57000+
100
3000+
16000+
126000+
6000+
24000+
26000+
251000+
29000+
2000+
18000+
799
108000+
7000+
3000+
139000+
35000+
81000+
49000+
11000+
140000+
50000+
269
18000+
65000+
8000+
12000+
20000+
9000+
18000+
118000+
44000+
3000+
14000+
4000+
16000+
4000+
1000+
1000+
1000+
7000+
58000+
513
14000+
554
126
109
34000+
46000+
1000+
1000+
41000+
29000+
4000+
14000+
30000+
14000+
12000+
11000+
12000+
16000+
304
106000+
3000+
18000+
11000+
2000+
5000+
31000+
435
17000+
430
23000+
78000+
17000+
13000+
22000+
24000+
41000+
368
41000+
1000+
12000+
113000+
950
3000+
4000+
6000+
92000+
4000+
80000+
15000+
4000+
294
261
721
8000+
17000+
8
22000+
4000+
1000+
8000+
4000+
654
21000+
10000+
1000+
38000+
7000+
108000+
24000+
12000+
13000+
25000+
45
2000+
7000+
61000+
8000+
9000+
5000+
221
105000+
1000+
2000+
948
111
3000+
330
10000+
54000+
10000+
38
6000+
24000+
855
33000+
37000+
20000+
38000+
281
10000+
47000+
5000+
20000+
38000+
30000+
24000+
3000+
5000+
2000+
77000+
19000+
219000+
9000+
9000+
23000+
6000+
19000+
20000+
17000+
2000+
152000+
23000+
1000+
3000+
56
3000+
4000+
15000+
1000+
4000+
41000+
925
24000+
4000+
8000+
1000+
1000+
10000+
2000+
4000+
329
54000+
8000+
11000+
7000+
13000+
6000+
32000+
16000+
1000+
3000+
4000+
17000+
5000+
2000+
6000+
25000+
1000+
16000+
3000+
13000+
10000+
160000+
51000+
3000+
1000+
47
3000+
34000+
3000+
234
4000+
12000+
341
1000+
192
29000+
1000+
4000+
65000+
8000+
8000+
482
3000+
4000+
18000+
7000+
5000+
21000+
2000+
1000+
639
9000+
12000+
6000+
7000+
2000+
1000+
80
9000+
57000+
25000+
23000+
195
22
2000+
53000+
22000+
4000+
62000+
52000+
22000+
21000+
445
1000+
42000+
4000+
7000+
17000+
48000+
6000+
94000+
28000+
20000+
16000+
3000+
67000+
43000+
23000+
68
3
40000+
5000+
3000+
2000+
12000+
14000+
547
13000+
293000+
43000+
26000+
250000+
49000+
1000+
23000+
45000+
7000+
72000+
34000+
3000+
1000+
14000+
47000+
15000+
7000+
264000+
24000+
1000+
21000+
14000+
70000+
15000+
255
1000+
83000+
14000+
7000+
105000+
799
1000+
12000+
6000+
16000+
32000+
1000+
2000+
6000+
12000+
44000+
5000+
157
35000+
2000+
6000+
3000+
43000+
4000+
3000+
2000+
44000+
47000+
10000+
76000+
25000+
818
5000+
178
1
2
17000+
17000+
165000+
2000+
5000+
20000+
7000+
649
204000+
86
61
3000+
12000+
390
294000+
23000+
22000+
37000+
1000+
3000+
6000+
3000+
20000+
10000+
37000+
12000+
38000+
29000+
34000+
21000+
2000+
